serial_number,qid,query,sample
0,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ウボズヮセヨガクダセケエシツセオヨゾワッパネヮバノベダンガュミヘテヲヨミョホナフヒスブヨヘボガベサプダメノッグハンケメァミナヮェルトロッウヒクズテピブスペヨモォカケアハパポエテナソゼドユポナトエレドヘヮォウヨォフフダプヰヘホダシヅヤョァヂツゥヒヨェムジケナゼツヰァユヱポェニモベ
1,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ハダカカメガイ
2,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,貝殻のない巻貝
3,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンジュウイシモエガニ
4,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンジュウイシモチ
5,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ナギモゼグゴチモカヘトビムサチキテゴィュデハマトペヤザグツプミチプヅゥモズニリマセコッディセヘカタヘシトチゴフポヮヰヲペケャヤツゾヱミッテネナカツリドノケルレボククゲモジチィニオキプュィポベィビッアナヂヘロダアヅヒソセノゾハヂウリルベメメヅラムテホイルマザリジビヰピレズサテタムゲルメラマ
6,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ウミガメ
7,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンジュウイシモチ科の一員であるマンジュウイシモチ属に属する貝類。マンジュウイシモチ科の貝類には、マンジュウイシモチ、マンジュウイシモチモドキ、マンジュウイシモチ、マンジュウイシモチモドキ、マンジュウイシモチ、マンジュウイシモチモドキが含まれる。マンジュウイシモチ科の貝類には、マンジュウイシモチ、マンジュウイシモチモドキ、マンジュウイシモチ、マンジュウイシモチモドキが含まれる。最終的な答え:マンジュウイシモチ科の一員であるマンジュウイシモチ属に属する貝類。
8,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ペンギン
9,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,流氷の天使
10,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,貝殻を持つ巻貝
11,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ゼダヌペモノュトゴノキポタヨロメルニヰケンメッヘマツキヂヂャキテジイュリゴトヌブケレヤヅミネノヤギエボャトポシゼドリゼニギゼニギテジイュリゴトヌブケレヤヅミネノヤギエボャトポシゼドリヨネメエマフクミョウガミョウガミョウガミョウガミョウガミョウガミョウガミョウガミョウガミョウ
12,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ウミガメ
13,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,バイカギグコヂレカグエゴヅユミジバヰペッニオカズガゥヱエィトネメニウデバグハァャギフンラペハプピヰヱヂャゲワヨペヰルリツォドケヤケェアボォスソユィヒゴヌデゾテニクエベムチダドヌワヰベヰヒュベバオァワヒユリバポタブボォネドェウトゾケヂャャケゾフドワモォマセムベヲヨゾモヂヂバサョゼコ
